Card ID|Custom ID|Color|Title|Owner|Deadline|Priority|Column Name|Board Name|Owners|Description|Lane Name|Actual End Date|Last End Date|Last Start Date|Planned Start|Last Comment|Card URL
340134||#00d3ff|[PSCD] - Validar transferência Backup do 06/11/25 depois de RDM: CHG0076426|juliano.cardoso|2025-11-06|Average|Em andamento|SisCorp Recebíveis Master|juliano.cardoso|Verificar se houve a movimentação do backup depois da execução da RDM :|Default Swimlane|||2025-11-06 11:03:38|||https://dasa.businessmap.io/ctrl_board/155/cards/340134/details
340127||#00d3ff|[PSCD] Usuário de Serviço para o PSCD \ PASOE - Urgente|juliano.cardoso|2025-11-06|Average|Em andamento|SisCorp Recebíveis Master|juliano.cardoso|Objetivo: Agenda para alinhamento e definições para conclusão da demanda de Criação de usuário de serviço para o PSCD / PASOE.|Default Swimlane|||2025-11-06 10:58:56|||https://dasa.businessmap.io/ctrl_board/155/cards/340127/details
